forme,predicat,date,lieux,titre,article_url,lieux_detail,lieux_urls
Catherine Tahan,démissionne,05/04/2017 0:00,Vire Normandie,Vire. Catherine Tahan démissionne du conseil municipal,http://troove.ouest-france.fr/article/MjAxN2E2ODgwN2JhNTgwMjkwNGI2OTAzODZkYjA3MzBkZmZiMQ,[{'id': 'cqXJ7mhISCuJzn87LU9JBA', 'zone': '2', 'debut': 1169, 'fin': 1183, 'position': [-0.8896019, 48.85125], 'departement': 'nROkd9wwQTKC-_7EP-i5bA', 'forme': 'Vire Normandie'}, {'id': 'cqXJ7mhISCuJzn87LU9JBA', 'zone': 'geographie', 'debut': 0, 'fin': 14, 'position': [-0.8896019, 48.85125], 'departement': 'nROkd9wwQTKC-_7EP-i5bA', 'forme': 'Vire Normandie'}],http://troove.ouest-france.fr/lieu/cqXJ7mhISCuJzn87LU9JBA?Vire Normandie
José Doré,démissionne,03/01/2018 0:00,Lanloup,<p>Conseil municipal. José Doré démissionne</p>,http://troove.ouest-france.fr/article/MjAxOGExY2I4NWRhZDc0YmMyMmMwN2FjZDA1MmVlNmNjZGQxOQ,[{'id': '7fVZhrU5SdS6znIHw71-jQ', 'zone': 'geographie', 'debut': 0, 'fin': 7, 'position': [-2.968844, 48.70993], 'departement': '2FUGnWnzQkmIxSdWQi4OrQ', 'forme': 'Lanloup'}],http://troove.ouest-france.fr/lieu/7fVZhrU5SdS6znIHw71-jQ?Lanloup
Catherine Ravera,démissionné,20/10/2017 0:00,Jardin , Tilly-sur-Seulles,"<p class=""Titre"">Cascade de démissions au conseil municipal</p>",http://troove.ouest-france.fr/article/MjAxN2I5NGJmMjZjNzYxYWRkNjlkM2QyMGYxMTcxZTlkZGMzMQ,[{'id': '4D6SkuY2Smuk8bC-JmL4fA', 'zone': '1', 'debut': 911, 'fin': 917, 'position': [4.9109445, 45.492805], 'departement': '-RLM_4u5S764jbVC_BEMRw', 'forme': 'Jardin'}, {'id': 'hlejzvQPRO-wZoCGPVjpdA', 'zone': 'geographie', 'debut': 0, 'fin': 17, 'position': [-0.6234177, 49.171867], 'departement': 'nROkd9wwQTKC-_7EP-i5bA', 'forme': 'Tilly-sur-Seulles'}],http://troove.ouest-france.fr/lieu/hlejzvQPRO-wZoCGPVjpdA?Tilly-sur-Seulles http://troove.ouest-france.fr/lieu/4D6SkuY2Smuk8bC-JmL4fA?Jardin
Bernard Amiot,démissionné,28/03/2017 0:00,François,<p>Conseil municipal. Bernard Amiot a démissionné</p>,http://troove.ouest-france.fr/article/MjAxN2E0MzQyOGFkNzU0MzQ5NzZhMzM3YmQwY2EzYWM2Mzc2Mw,[{'id': 'YIMrAZCZTRC9JKwvVtpHjQ', 'zone': '1', 'debut': 271, 'fin': 279, 'position': [-0.3440734, 46.38221], 'departement': 'alAXsme0R8CyPevkUIqyig', 'forme': 'François'}],http://troove.ouest-france.fr/lieu/YIMrAZCZTRC9JKwvVtpHjQ?François
Gaëlle Vincent,démissionne,17/03/2017 0:00,Rémy , Saint-Georges-de-Pointindoux , Vincent , La Mothe-Achard , La Chapelle-Achard,<p>Gaëlle Vincent démissionne du conseil municipal</p>,http://troove.ouest-france.fr/article/MjAxN2EzMmI2MTA5YmZkNjAzMWQ1OGIwZGIxY2RjZDNjYTI0Nw,[{'id': '_my2wULKRdmtS50J76hO6w', 'zone': '2', 'debut': 318, 'fin': 322, 'position': [2.9588168, 50.257088], 'departement': 'd1paKjHHSwW_9EHTM6W8yA', 'forme': 'Rémy'}, {'id': 'AyQi3Ec9QyKcBvlriqPKQA', 'zone': '2', 'debut': 1291, 'fin': 1298, 'position': [5.482433, 46.787754], 'departement': 'itWet-urRvSRctKrCODltw', 'forme': 'Vincent'}, {'id': 'rYWd2SMpRJSHFDCOUfHSkA', 'zone': '2', 'debut': 1568, 'fin': 1583, 'position': [-1.6503816, 46.616364], 'departement': 'MPmlwlNtS6iAhx4ByL0Ktw', 'forme': 'La Mothe-Achard'}, {'id': 'R-lbv0S4RE69D4upPoF_pQ', 'zone': '2', 'debut': 1587, 'fin': 1605, 'position': [-1.661444, 46.586983], 'departement': 'MPmlwlNtS6iAhx4ByL0Ktw', 'forme': 'La Chapelle-Achard'}, {'id': '_my2wULKRdmtS50J76hO6w', 'zone': '2', 'debut': 2035, 'fin': 2039, 'position': [2.9588168, 50.257088], 'departement': 'd1paKjHHSwW_9EHTM6W8yA', 'forme': 'Rémy'}, {'id': '_my2wULKRdmtS50J76hO6w', 'zone': '2', 'debut': 2530, 'fin': 2534, 'position': [2.9588168, 50.257088], 'departement': 'd1paKjHHSwW_9EHTM6W8yA', 'forme': 'Rémy'}, {'id': 'mPlsqeIIR8asNkPpCFo5Ww', 'zone': 'geographie', 'debut': 0, 'fin': 28, 'position': [-1.6288183, 46.642345], 'departement': 'MPmlwlNtS6iAhx4ByL0Ktw', 'forme': 'Saint-Georges-de-Pointindoux'}],http://troove.ouest-france.fr/lieu/AyQi3Ec9QyKcBvlriqPKQA?Vincent http://troove.ouest-france.fr/lieu/R-lbv0S4RE69D4upPoF_pQ?La Chapelle-Achard http://troove.ouest-france.fr/lieu/mPlsqeIIR8asNkPpCFo5Ww?Saint-Georges-de-Pointindoux http://troove.ouest-france.fr/lieu/_my2wULKRdmtS50J76hO6w?Rémy http://troove.ouest-france.fr/lieu/rYWd2SMpRJSHFDCOUfHSkA?La Mothe-Achard
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
